name,credits,prereqs,coursenum,offeredin,description,department
"Business Law",4,null,BUS301,null,"Legal rules relating to contracts, agency, negotiable instruments, property, and business organizations under theUniform Commercial Code.",
"Human Resource Management",4,null,BUS340,null,"Personnel function in business, acquisition, and utilization of human resources; desirable working relationships; effectiveintegration of the worker with the goals of the firm and society.",
"International Business",4,null,BUS362,null,"This course views international business from a global perspective, including views of the U.S. government andperspectives of foreign governments. Each topic is supported with real-life case studies.",
Internship,4,null,BUS396,null,,
Internship,2,null,BUS397,null,"BUS397 provides direction and support for students completing internships. Classroom meetings will be scheduled.",
Internship,2,null,BUS398,null,,
Internship,4,null,BUS399,null,"BUS399 provides direction and support for students completing internships. Classroom meetings will be scheduled.",
"Strategic Management",4,null,BUS440,null,"Concepts and principles related to long-range planning. Taught from a managerial viewpoint with examples from variousindustries and sectors.",
"Global Business Management: Mexico and Emerging Markets - Mexico",4,null,BUS461,null,,
"International Management",4,null,BUS465,null,"This course analyzes several factors influencing behavior in the workplace and the board room, including skills needed tomanage across national borders.",
Topics,4,null,BUS495,null,,
"Independent Study",4,null,BUS499,null,,
"CAP Seminar",0,null,CAP001,null,"Program (CAP). During individual meetings, students will work with an academic skills coach to develop study skills,address affective needs, and transition to college life. Meeting time is arranged with skills coach. (.0 course; P/N gradingonly; Prereq: conditional admit status).",
"Designing Your Future: Majors, Careers, and a Life of Joy",2,null,CAR160,null,"Welcome to Designing Your Future. This course will borrow concepts from design thinking to inspire curiosity in studentsabout majors, careers, and a life of joy. Through the iterative processes of turning inward (self-exploration) and turningoutward (major and career exploration), students will be encouraged to generate and embrace multiple answers tocomplex questions about their own future. The instructor and students will engage in a variety of techniques andresources intended to create an active, meaningful and lasting learning experiences. Techniques utilized will includepersonal and career assessments, self-reflection, panel discussions with industry leaders from the major career sectors(non-profit sector, corporate sector, and others), life-design group discussions, readings and reflection. Students will alsopractice networking, informational interviewing, resume and cover letter writing, and job search techniques.",
"Introduction to Cultural Studies",4,null,CCS100,null,"This course is an introduction to the critical study of cultures and cross-cultural difference. It examines the connectionsbetween social relations and the production of meaning. It sets the stage for global citizenship by revealing how our"position" in the world affects the way we view, interpret, and interact with other cultures.",
Topics,4,null,CCS295,null,,
"Directed Study",4,null,CCS299,null,,
Internship,2,null,CCS397,null,,
Internship,4,null,CCS399,null,,
Topics,4,null,CCS495,null,,
"Independent Study",4,null,CCS499,null,,
"Chemistry for Changing Times",4,null,CHM102,null,"Designed for the liberal arts student. Emphasis is upon developing basic chemistry concepts using examples primarilyfrom inorganic chemistry. Does not count toward a chemistry major or minor. Note: must earn credit for both 102 and102L to count as NSM-LAF.",
"General Chemistry I",4,null,CHM115,null,"This is the entry course for chemistry and related science majors, including biology and physics. Course topics include anintroduction to matter and measurements, chemical equations, stoichiometry, energetics, electronic structure, andbonding theory. High school chemistry recommended. Note: must earn credit for both 115 and 115L to count as NSMLAF. (Fall)",
